Family,Species,Hunting Method/Web Usage,Record,Body Length Total,Ceph Length,Ceph Width,Abdom Length,Abdom Width,Leg I Fe,Leg I Pa,Leg I Ti,Leg I Mt,Leg I Ta,Leg II Fe,Leg II Pa,Leg II Ti,Leg II Mt,Leg II Ta,Leg III Fe,Leg III Pa,Leg III Ti,Leg III Mt,Leg III Ta,Leg IV Fe,Leg IV Pa,Leg IV Ti,Leg IV Mt,Leg IV Ta
Lamponidae,Graycassis barrington,Ground hunter,KS104644,8.75,3.23,2.402,5.52,3.005,2.451,0.807,1.363,1.246,1.135,2.313,0.876,1.786,0.876,0.757,1.925,0.956,1.534,1.637,1.014,2.837,0.931,2.038,2.507,1.283
Lamponidae,Graycassis bulga,Ground hunter,KS31980,7.622,3.45,2.66,4.172,2.455,2.149,0.94,1.792,1.541,1.152,2.132,0.783,1.535,1.425,1.097,2.017,0.431,0.881,0.926,0.636,2.143,1.007,2.104,2.448,1.07
Lamponidae,Graycassis chichester,Ground hunter,KS100941,5.068,2.107,1.76,2.961,2.323,1.43,0.735,1.261,1.148,0.622,1.39,0.73,1.19,1.025,0.628,1.523,0.656,0.983,1.459,0.628,2.09,0.566,1.314,1.879,0.796
Lamponidae,Lampona braemar,Ground hunter,KS31861,4.75,2.342,1.606,2.408,1.279,1.355,0.622,0.972,1.013,0.423,1.224,0.598,0.86,0.714,0.378,0.477,0.51,0.591,NA,NA,1.18,0.495,1.031,0.729,0.511
Lamponidae,Lampona chinghee,Ground hunter,KS35560,6.477,2.738,1.81,3.739,2.259,1.463,0.724,1.002,0.855,0.578,1.384,0.794,1.087,0.741,0.54,0.994,0.553,0.743,0.62,0.517,1.274,0.635,1.238,1.172,0.572
Lamponidae,Lampona cylindrata,Ground hunter,KS31897,11.86,6.191,4.303,5.669,2.885,3.635,1.736,3.097,2.729,1.088,3.519,1.6,3.017,2.095,1.393,2.758,1.753,2.362,2.505,1.087,3.748,1.767,3.641,3.81,1.379
Lamponidae,Lampona kirrama,Ground hunter,QMS28084,5.55,2.75,1.95,2.8,1.65,1.55,0.925,1.25,1,0.5,1.55,0.7,1.2,0.8,0.65,1.2,0.5,0.8,0.8,0.35,1.65,0.8,1.5,1.2,0.55
Lamponidae,Lampona lomond,Ground hunter,KS29317,6.565,3.074,1.756,3.491,1.809,1.944,0.754,1.216,0.783,0.489,1.369,0.761,0.96,0.79,0.548,1.236,0.342,0.691,0.666,0.514,1.233,0.467,1.119,1.177,0.596
Lamponidae,Lampona murina,Ground hunter,KS65038,11.305,4.913,3.134,6.392,3.238,2.776,1.447,2.638,2.328,1.18,2.91,1.907,2.581,1.513,1.353,1.838,1.349,2.094,1.753,0.941,3.284,1.722,3.023,2.571,1.086
Lamponidae,Lampona ruida,Ground hunter,KS118080,7.754,3.585,2.56,4.169,2.219,1.634,1.009,1.483,0.925,0.62,1.548,0.889,1.341,0.995,0.564,1.081,0.864,1.016,0.853,0.69,1.641,0.757,1.533,1.291,0.703
