Family,Species,Hunting Method/Web Usage,Record,Body Length Total,Ceph Length,Ceph Width,Abdom Length,Abdom Width,Leg I Fe,Leg I Pa,Leg I Ti,Leg I Mt,Leg I Ta,Leg II Fe,Leg II Pa,Leg II Ti,Leg II Mt,Leg II Ta,Leg III Fe,Leg III Pa,Leg III Ti,Leg III Mt,Leg III Ta,Leg IV Fe,Leg IV Pa,Leg IV Ti,Leg IV Mt,Leg IV Ta
Salticidae,Jotus insulanus,Ambush,KS19512,7.358,3.182,2.542,4.176,2.94,1.712,0.718,1.554,0.704,0.465,1.628,0.998,0.852,0.911,0.638,1.276,0.862,1.068,0.974,0.724,1.843,1,1.409,0.87,0.403
Salticidae,Ligonipes illustris,Ambush,KS22111,3.747,1.635,0.961,2.112,0.954,0.935,0.464,0.979,0.704,0.403,0.604,0.367,0.641,0.33,0.27,0.685,0.34,0.546,0.362,0.248,0.949,0.462,1.196,0.844,0.325
Salticidae,Maratus amabilis,Ambush,KS56342,3.716,1.822,1.408,1.894,1.231,0.828,0.306,0.552,0.289,0.239,0.775,0.25,0.204,0.196,0.309,1.103,0.419,0.831,0.54,0.372,1.001,0.429,0.592,0.524,0.406
Salticidae,Maratus anomalus,Ambush,KS69535,4.219,2.087,1.545,2.132,1.779,0.715,0.393,0.554,0.371,0.288,0.793,0.367,0.578,0.284,0.215,0.929,0.705,0.875,0.715,0.496,1.027,0.481,0.595,0.745,0.516
Salticidae,Menemerus bivittatus,Ambush,KS18253,6.858,2.871,1.968,3.987,2.452,1.356,0.917,0.813,0.689,0.562,1.077,0.599,0.908,0.676,0.477,1.518,0.771,0.689,0.745,0.623,1.808,0.698,1.532,0.959,0.679
Salticidae,Mopsolodes australensis,Ambush,KS19485,8.193,3.485,2.639,4.708,2.534,1.667,1.249,1.487,1.166,0.798,1.87,0.903,0.777,0.94,0.704,2.202,0.915,1.156,1.17,0.72,2.178,0.9,1.458,1.123,0.714
Salticidae,Mopsus mormon,Ambush,QMS59463,9.5,4.1,3.6,5.4,2.6,2.4,1.65,1.9,1.1,0.65,2.2,0.9,1.45,1.5,0.725,2.8,1.05,1.1,1.625,0.95,2.9,1.05,2,1.85,0.75
Salticidae,Myrmarachne luctuosa,Mimicry,KS5758,5.617,2.417,1.113,3.2,1.508,0.758,0.239,0.554,0.303,0.224,0.773,0.184,0.695,0.284,0.203,0.905,0.19,0.45,0.355,0.351,1.57,0.637,1.318,0.688,0.201
Salticidae,Ocrisiona leucocomis,Ambush,KS117605,10.493,3.872,2.502,6.621,3.056,1.447,1.007,1.409,0.539,0.534,1.423,0.639,1.105,0.563,0.588,1.368,0.784,0.909,0.961,0.772,1.459,1.094,1.744,1.009,0.928
Salticidae,Ocrisiona melancholica,Ambush,KS18857,9.179,4.364,2.852,4.815,2.79,1.895,1.024,1.275,0.789,0.599,1.619,1.052,1.128,0.673,0.419,1.427,0.858,1,0.599,0.784,2.045,1.311,1.682,1.764,0.632
Salticidae,Omoedus orbiculatus,Ambush,QMS57159,6.85,3.2,2.7,3.65,2.85,1.5,1.1,1.05,0.95,0.65,1.45,0.95,1,1.025,0.45,1.4,1,0.85,1.45,0.55,1.75,0.95,1.3,1,0.6
Salticidae,Opisthoncus grassator,Ambush,KS18223,7.137,2.91,2.545,4.227,2.647,1.408,1.209,1.774,0.944,0.664,1.036,0.976,1.372,0.673,0.496,NA,NA,NA,NA,NA,1.801,0.961,1.341,1.125,0.495
Salticidae,Opisthoncus necator,Ambush,KS22161,5.633,2.582,2.184,3.051,1.657,1.473,1.629,1.982,0.579,0.271,1.028,0.555,0.678,0.845,0.46,1.403,0.648,0.655,0.911,0.561,1.209,0.479,0.762,0.63,0.59
Salticidae,Opisthoncus parcedentatus,Ambush,KS18248,6.424,2.474,1.824,3.95,2.569,1.275,0.675,1.049,0.545,0.283,0.982,0.472,0.899,0.559,0.412,1.041,0.493,0.797,0.446,0.502,1.335,0.476,0.989,0.679,0.418
Salticidae,Opisthoncus quadratarius,Ambush,None,10.5,4.1,3.4,6.4,3.8,2.9,2.3,2.5,1.8,0.9,2.4,1.8,1.7,1.4,0.8,2.4,1.5,1.3,1.6,0.7,2.4,1.3,1.7,1.7,0.7
Salticidae,Opisthoncus tenuipes,Ambush,KS10150,4.188,1.738,1.522,2.45,1.543,0.996,0.515,0.901,0.602,0.358,0.897,0.411,0.66,0.577,0.292,0.903,0.59,0.519,0.467,0.318,1.078,0.493,0.696,0.623,0.352
Salticidae,Plexippus petersi,Ambush,KS18964,6.312,3.29,2.533,3.022,2.204,1.849,0.91,0.919,1.439,0.525,1.2,0.462,0.926,1.227,0.501,1.941,0.951,0.968,1.23,0.63,1.795,1.02,1.512,0.902,0.624
Salticidae,Portia fimbriata,Ambush,QMS59483,6.85,3.1,2.4,3.75,2.85,2,1,1.75,1.15,0.8,2,0.65,1.3,1,0.7,1.85,0.75,1,1,0.95,2.55,1.1,1.95,2.8,1.1
Salticidae,Prostheclina amplior,Ambush,KS103279,5.65,2.875,2.125,2.775,1.925,1.95,1.025,1.85,1.05,0.575,1.675,0.825,1.075,0.575,0.5,1.5,0.25,1.025,1,0.5,1.525,0.45,1.125,1.175,0.625
Salticidae,Prostheclina pallida,Ambush,KS51442,3.046,1.413,1.44,1.633,1.364,1.006,0.67,0.687,0.478,0.538,0.817,0.569,0.702,0.612,0.373,0.871,0.387,1.153,0.683,0.583,1.161,0.509,0.81,0.833,0.547
Salticidae,Pseudomaevia cognata,Ambush,KS22217,10.82,5.447,3.529,5.373,2.627,2.918,1.734,2.292,1.717,0.942,2.171,0.792,1.478,1.169,0.603,1.879,0.627,1.096,0.845,0.587,2.05,1.042,2.11,1.72,0.589
Salticidae,Pseudosynagelides raveni,Ambush,KS45570,2.215,1.041,0.648,1.174,0.842,0.524,NA,NA,NA,NA,0.364,0.2,0.344,NA,NA,0.43,0.174,0.223,0.257,0.192,0.419,0.212,0.366,0.494,0.191
Salticidae,Pungalina albobarbata,Ambush,KS42272,6.55,2.925,2.125,3.625,2.1,1.25,0.425,0.975,0.525,0.475,0.825,0.25,0.625,0.475,0.4,1.05,0.475,0.525,0.675,0.475,NA,NA,NA,NA,NA
Salticidae,Pungalina plurilineata,Ambush,KS56430,7.577,3.384,2.166,4.193,2.492,1.327,0.762,1.118,0.558,0.443,0.905,0.586,0.756,0.597,0.383,1.397,0.623,0.735,0.543,0.338,1.799,0.782,1.187,0.738,0.497
Salticidae,Pungalina semiferruginea,Ambush,KS7364,3.997,1.817,1.563,2.18,1.025,0.999,0.363,0.455,0.413,0.332,0.634,0.31,0.49,0.395,0.321,0.733,0.289,0.414,0.502,0.322,0.965,0.41,0.806,0.576,0.448
Salticidae,Saitis insulanis,Ambush,KS16999,3.198,1.52,1.073,1.678,0.755,0.654,0.341,0.602,0.36,0.186,0.585,0.329,0.425,0.221,0.163,0.594,0.159,0.334,0.285,0.167,0.558,0.343,0.532,0.472,0.218
Salticidae,Sandalodes joannae,Ambush,KS10925,9.577,4.14,3.133,5.437,2.766,2.167,1.758,1.807,1.66,0.887,1.944,1.375,1.147,1.13,0.603,2.076,1.147,1.227,1.233,0.896,2.097,1.059,2.803,1.272,0.799
Salticidae,Sandalodes scopifer,Ambush,KS124286,7.745,4.572,3.234,3.173,2.268,1.668,1.613,1.669,1.552,0.71,1.788,1.353,1.522,1.161,0.786,2.124,0.921,1.606,1.318,0.719,2.379,1.228,1.758,1.336,0.796
Salticidae,Sandalodes superbus,Ambush,KS118335,9.267,4.075,3.121,5.192,2.901,1.741,1.409,1.342,0.961,0.655,1.676,1.245,0.909,0.633,0.588,1.686,1.044,1.006,0.877,0.745,1.782,1.123,1.549,1.161,0.873
Salticidae,Servaea incana,Ambush,KS31009,7.895,2.906,2.712,4.989,4.214,1.67,1.061,1.385,1.099,0.664,1.759,0.827,0.904,1.156,0.601,1.783,0.759,1.127,1.314,0.784,1.764,0.999,1.623,1.483,0.725
Salticidae,Servaea villosa,Ambush,KS119708,4.896,2.403,2.082,2.493,2.296,0.882,0.71,0.632,0.906,0.42,1.052,0.653,0.727,0.817,0.418,1.097,0.669,0.829,0.985,0.516,1.365,0.762,0.839,0.923,0.474
Salticidae,Simaetha paetula,Ambush,None,9.6,3.7,3.5,5.9,4,2.8,2.1,1.9,1.2,0.8,2,1.3,1.1,1.1,0.7,1.6,1.1,0.9,0.9,0.7,2.1,1.3,1.4,1.3,0.7
Salticidae,Simaetha tenuidens,Ambush,KS57897,7.362,3.062,2.801,4.3,3.43,2.555,1.464,1.725,1.098,0.696,1.628,0.699,1.195,1.081,0.648,1.33,0.748,0.948,0.833,0.438,1.518,0.842,1.087,1.039,0.62
Salticidae,Simaetha tenuior,Ambush,KS56343,4.423,1.968,1.896,2.455,2.009,1.352,0.87,1.608,0.65,0.506,0.816,0.634,0.864,0.485,0.361,0.525,0.296,0.6,0.487,0.235,0.955,0.359,0.592,0.682,0.403
Salticidae,Simaetha thoracica,Ambush,None,7.4,3.3,3,4.1,3.1,2.5,1.9,1.9,1.2,0.9,1.8,1.2,1.1,1.1,0.7,1.5,1,0.8,0.9,0.7,2,1.1,1.2,1.1,0.7
Salticidae,Sondra aurea,Ambush,KS12868,3.477,1.409,1.191,2.068,1.574,0.784,0.471,0.481,0.622,0.318,0.867,0.378,0.508,0.233,0.293,0.918,0.241,0.393,0.405,0.279,1.356,0.319,0.595,0.801,0.37
Salticidae,Sondra bifurcata,Ambush,KS559,4.795,1.978,1.539,2.817,1.247,1.196,0.51,0.815,0.75,0.363,0.946,0.466,0.855,0.629,0.418,1.08,0.383,0.819,0.959,0.536,1.452,0.552,1.138,1.016,0.632
Salticidae,Sondra convoluta,Ambush,None,4.44,1.72,1.56,2.72,NA,1.28,0.68,0.93,0.8,0.41,1.2,0.6,0.8,0.74,0.41,1.32,0.58,0.84,1.04,0.5,1.52,0.56,1.1,1.28,0.5
Salticidae,Sondra damocles,Ambush,KS69738,3.313,1.8,1.468,1.513,1.019,1.354,0.47,1.077,0.273,0.216,1.057,0.456,0.667,0.348,0.233,0.958,0.451,0.377,0.212,0.253,1.148,0.416,0.94,0.671,0.374
Salticidae,Sondra nepenthicola,Ambush,KS39087,3.037,1.577,1.27,1.46,1.136,0.769,0.584,0.714,0.484,0.341,0.718,0.526,0.494,0.451,0.29,0.849,0.328,0.461,0.529,0.267,0.988,0.421,0.718,0.799,0.452
Salticidae,Sondra raveni,Ambush,KS49838,4.32,1.816,1.338,2.504,1.819,0.998,0.526,0.748,0.552,0.465,0.746,0.342,0.546,0.55,0.415,0.985,0.419,0.731,0.767,0.431,1.008,0.486,1.002,0.799,0.363
Salticidae,Sondra variabilis,Ambush,None,5.44,2.2,1.86,3.24,NA,1.52,0.88,1.19,0.88,0.44,1.32,0.76,0.9,0.84,0.4,1.32,0.64,0.84,1.04,0.44,1.56,0.7,1.24,1.38,0.52
Salticidae,Tauala alveolatus,Ambush,KS18966,4.443,1.86,1.489,2.583,1.31,1.077,0.524,0.944,0.685,0.414,1.108,0.688,0.926,0.885,0.431,1.567,0.486,1.166,1.225,0.618,1.771,0.567,1.242,1.594,0.515
Salticidae,Tauala daviesae,Ambush,None,6.08,2.44,2.1,3.64,NA,2.2,1.18,1.92,1.47,0.67,1.92,0.94,1.69,1.28,0.6,2.11,0.89,1.44,1.88,0.67,2.27,0.76,2.2,2.25,0.64
Salticidae,Tauala lepidus,Ambush,KS64603,5.349,2.279,1.871,3.07,1.453,1.952,0.71,1.622,1.223,0.539,1.86,0.813,1.346,1.019,0.566,1.821,0.61,1.359,1.377,0.555,1.726,0.771,1.543,2.074,0.634
Scytodidae,Scytodes perfecta,Ambush silk,KS10688,6.03,3.082,2.241,2.948,2.768,3.723,0.669,4.117,2.848,1.421,2.374,0.726,3.131,3.79,0.959,2.59,0.587,2.135,2.433,0.585,3.336,0.825,3.556,2.778,0.885
Segestriidae,Ariadna dysderina,Retreat,KS41002,13.017,4.868,3.322,8.149,4.97,4.088,1.642,3.431,2.768,0.87,3.523,1.644,3.349,2.605,0.867,2.501,1.171,2.2,1.794,0.904,3.538,1.64,3.09,2.015,0.965
Selenopidae,Karaops raveni,Ambush,QMS47057,7.21,3.02,3.94,4.19,4.26,3.43,1.6,3.02,2.35,1.09,4.94,1.71,4.07,3.11,1.4,5.38,1.61,4.27,3.43,1.55,4.34,1.22,3.57,2.83,1.26
Sparassidae,Beregama aurea,Ground hunter,KS19670,17.926,5.758,5.634,12.168,10.391,13.034,5.207,12.04,11.094,3.613,14.493,5.52,13.728,12.433,3.927,13.295,5.634,9.276,9.468,3.423,10.883,3.957,10.397,9.515,4.236
Sparassidae,Delena cancerides,Ground hunter,KS19390,17.918,10.06,10.189,7.858,8.754,11.305,5.813,11.281,11.615,4.03,11.685,2.697,10.382,11.661,3.257,9.984,3.988,7.263,6.502,3.057,12.437,3.08,9.982,9.218,3.585
Sparassidae,Heteropoda alta,Ground hunter,KS86188,23.736,9.951,8.154,13.785,8.323,10.565,4.685,7.189,9.669,2.967,9.578,3.737,6.434,7.757,2.952,9.301,3.002,7.646,8.2,2.464,9.291,3.38,7.497,7.52,2.136
Sparassidae,Heteropoda holoventris,Ground hunter,KS8259,18.741,9.382,8.166,9.359,6.735,11.629,4.627,12.29,9.951,2.901,12.619,4.713,13.097,10.633,2.846,11.129,3.752,9.997,11.011,3.994,11.41,3.594,10.535,10.726,3.057
Sparassidae,Heteropoda jugulans,Ground hunter,KS122176,27.744,10.599,7.976,17.145,11.884,9.186,4.006,9.059,8.531,2.37,8.985,3.819,10.022,9.271,2.633,7.83,3.09,7.363,7.318,2.472,7.603,3.847,8.242,10.283,3.09
Sparassidae,Heteropoda longipes,Ground hunter,KS9653,20.055,6.957,7.993,13.098,9.384,9.127,3.758,8.281,8.09,2.628,9.292,4.008,8.301,8.786,2.655,8.582,1.88,8.367,7.686,2.252,8.856,1.624,6.671,7.767,2.552
Sparassidae,Heteropoda procera,Ground hunter,KS124423,25.85,11.311,9.903,14.539,8.461,10.71,5.549,13.659,9.984,2.289,13.658,4.852,15.085,12.903,3.06,11.293,5.244,9.912,9.894,1.993,10.223,4.838,11.093,7.737,2.149
Sparassidae,Heteropoda venatoria,Ground hunter,KS7964,19.644,7.7,9.751,11.944,7.337,10.822,3.234,9.362,8.165,2.985,11.541,4.246,12.531,10.434,3.656,9.43,3.605,8.957,7.451,3.046,9.803,3.3,6.723,8.683,3.172
Sparassidae,Holoconia immanis,Ground hunter,QMS21189,24.4,10.4,9.6,14,9.4,13.6,6.2,12.6,9.2,3.5,14.5,6.2,17.8,16.3,3.8,11.7,2.6,11,10,2.5,11,2.2,8,11.2,3.5
Sparassidae,Holoconia insignis,Ground hunter,KS19860,34.988,13.981,8.369,21.007,15.754,15.989,6.178,17.037,14.427,2.663,18.475,5.149,21.339,12.327,2.981,16.023,4.715,13.959,12.139,4.125,12.803,3.31,10.043,12.406,4.127
Sparassidae,Isopeda canberrana,Ground hunter,KS16674,26.43,11.303,8.839,15.127,9.267,13.169,3.841,12.401,12.964,3.709,16.501,5.383,16.512,10.16,2.62,11.379,3.628,8.352,11.526,4.086,12.183,3.694,9.765,10.43,3.079
Sparassidae,Isopeda montana,Ground hunter,KS20261,19.737,9.791,10.725,9.946,9.814,9.48,3.591,9.716,8.199,2.7,11.172,4.258,10.908,11.016,3.18,8.633,2.816,7.033,6.279,2.693,8.715,1.783,7.215,7.526,2.659
Sparassidae,Isopeda parnabyi,Ground hunter,KS18914,21.81,9.71,9.19,12.1,9.1,9.61,5.08,8.29,9.34,2.8,10.86,5.3,9.48,9.68,2.85,8.12,3.79,6.38,6.17,2.1,8.47,3.48,6.79,7.02,2.2
Sparassidae,Isopeda vasta,Ground hunter,KS16771,21.532,8.128,9.396,13.404,8.612,9.507,4.771,8.177,9.25,1.998,10.258,4.527,8.68,8.541,2.396,7.848,2.783,6.342,5.828,2.019,8.537,2.96,6.479,6.512,2.528
Sparassidae,Isopeda villosa,Ground hunter,KS16669,34.429,15.764,10.7,18.665,14.645,14.352,4.457,16.552,17.222,5.965,13.981,3.27,16.146,21.253,3.573,13.487,4.093,12.487,11.662,4.063,11.514,5.441,8.718,11.666,4.868
Sparassidae,Isopedella cerina,Ground hunter,QMS18511,22.37,8.92,8.63,13.45,10,9.59,4.68,8.11,8.59,2.65,10.62,4.79,8.89,8.97,2.65,8.13,3.51,6.2,5.85,2.2,8.69,3.31,6.64,7.13,2.4
Sparassidae,Isopedella flavida,Ground hunter,KS20302,15.188,6.892,8.265,8.296,5.687,8.789,4.521,6.734,7.122,2.615,9.318,4.735,7.927,6.627,2.214,6.289,2.304,4.982,4.235,2.051,6.241,1.983,4.005,5.817,2.003
Sparassidae,Isopedella frenchi,Ground hunter,KS20356,13.302,5.137,7.206,8.165,6.936,7.093,3.19,5.456,6.058,1.77,8.094,3.321,5.914,6.411,1.805,5.988,2.647,3.941,3.269,1.538,6.458,1.793,3.636,3.886,2.001
Sparassidae,Isopedella pessleri,Ground hunter,KS67824,17.25,7.5,8.1,9.75,7.2,6.25,2.5,7,4.75,NA,7.45,4.2,7.75,8.15,2.55,5.95,3.15,5.5,5.15,2.1,5.25,3.05,5.75,5.5,2
Sparassidae,Neosparassus calligaster,Ground hunter,KS10445,15.688,7.005,7.215,8.683,6.022,6.609,2.354,6.951,7.005,2.022,6.606,3.373,6.805,7.002,2.058,5.825,3.106,3.972,4.735,1.718,6.266,2.82,3.552,6.037,1.931
Sparassidae,Neosparassus diana,Ground hunter,KS32423,10.581,4.599,4.576,5.982,5.813,5.16,2.35,5.347,4.826,1.245,5.547,2.521,5.64,5.014,1.259,4.969,2.015,3.351,3.089,1.636,5.489,1.705,4.188,4.089,1.913
Sparassidae,Neosparassus haemorrhoidalis,Ground hunter,KS84857,17.312,8.71,8.865,8.602,8.628,10.158,3.524,8.71,8.682,2.928,9.787,4.809,8.931,8.193,2.398,8.575,2.357,6.201,5.75,2.112,8.628,3.617,6.067,5.883,2.201
Sparassidae,Neosparassus patellatus,Ground hunter,KS20671,13.653,5.432,5.586,8.221,6.229,5.864,3.068,5.527,5.175,1.482,6.564,3.032,5.328,5.282,1.832,5.466,2.319,4.561,3.998,1.374,4.306,1.369,3.744,4.666,1.966
Sparassidae,Neosparassus punctatus,Ground hunter,KS44210,15.547,5.738,5.17,9.809,6.731,6.063,2.269,4.737,6.159,1.673,6.149,2.336,4.287,6.06,1.532,4.28,1.597,3.659,3.782,1.398,5.068,1.734,3.697,5.213,1.645
Sparassidae,Neosparassus salacius ,Ground hunter,KS20711,32.953,15.721,10.843,17.232,12.714,15.265,5.63,16.709,11.806,NA,17.142,5.143,17.792,10.96,3.146,12.641,6.449,10.596,12.554,5.428,12.487,4.902,15.401,14.471,4.548
Sparassidae,Pediana regina,Ground hunter,KS20196,11.266,5.907,5.442,5.359,4.358,6.847,2.716,5.163,5.453,1.531,7.102,2.252,4.681,5.364,1.551,4.607,1.169,3.649,2.767,1.045,5.266,1.202,3.772,5.711,1.877
Sparassidae,Typostyla barbata,Ground hunter,KS20787,31.393,16.202,8.573,15.191,9.155,16.542,2.616,21.332,20.112,3.06,17.34,6.688,17.199,15.068,4.994,16.772,5.307,13.304,13.142,4.098,14.393,5.212,14.522,11.272,4.68
Sparassidae,Zachria oblonga,Ground hunter,KS20788,21.613,7.619,6.521,13.994,6.888,7.481,2.963,6.163,5.47,2.262,7.537,2.746,7.207,6.053,2.141,6.594,2.097,5.456,4.824,2.607,7.387,2.844,5.939,5.406,2.557
Stiphidiidae,Barahna myall,Sheet web,KS107595,5.475,2.625,1.75,2.85,2,2.25,0.6,2.2,1.725,0.525,1.775,0.625,1.9,1.25,0.375,1.75,0.625,1.475,1.025,0.6,2.4,0.75,2.125,2,0.75
Stiphidiidae,Borrala yabbra,Sheet web,KS9231,5.289,2.915,1.713,2.374,1.763,2.364,0.667,2.663,2.118,1.043,1.954,0.595,2.28,2.093,0.982,1.697,0.598,1.66,2.033,0.963,2.932,0.779,2.152,2.323,1.27
Stiphidiidae,Couranga kioloa,Sheet web,KS62463,5.7,2.925,1.925,2.775,2.4,2.925,0.75,2.2,3.225,1.5,2.65,0.475,1.55,2.4,1.375,1.95,0.4,1.175,1.75,0.625,0.3,1.075,2.675,1.125,5.7
Stiphidiidae,Jamberoo johnnoblei,Sheet web,KS69656,7.162,3.548,1.822,3.614,2.42,3.678,0.966,4.155,4.361,1.965,3.222,0.794,2.698,3.375,1.565,2.857,0.692,1.921,2.877,1.031,3.605,0.697,1.747,3.092,1.424
Stiphidiidae,Kababina alta,Sheet web,QMS22807,4.7,2.3,1.6,2.4,1.5,2.3,0.8,2.2,2.5,1.4,2,0.7,1.8,1.9,1.1,1.8,0.7,1.6,1.8,1.1,2.2,0.8,2.3,2.5,1.3
Stiphidiidae,Malarina monteithi,Sheet web,QMS35253,3.1,1.4,1.1,1.7,1.2,1.5,NA,NA,1.4,0.9,1.3,NA,NA,1.1,0.7,1.1,NA,NA,1.1,0.7,1.5,NA,NA,1.5,0.8
Stiphidiidae,Pillara griswoldi,Sheet web,KS101690,3.825,1.825,1.525,2,1.55,2.5,0.4,2.025,1.875,1.25,2,0.525,1.625,1.225,0.775,1.85,0.25,0.75,1.5,0.7,2.25,0.375,1,1.65,0.975
Stiphidiidae,Pillara karuah,Sheet web,KS103921,7.2,2.95,1.45,4.25,3.475,2.75,0.825,3.4,3.275,1.9,2.5,0.675,2.325,1.65,1.125,2.525,0.425,1.575,1.9,1.1,2.8,0.75,2.45,2.525,1.35
Stiphidiidae,Procambridgea hunti,Sheet web,KS56320,4.374,1.996,1.347,2.378,1.61,2.311,0.526,1.99,2.599,1.577,2.211,0.823,1.482,2.07,1.333,2.162,0.581,1.836,2.131,1.022,2.812,0.666,2.122,2.687,1.475
Stiphidiidae,Procambridgea rainbowi,Sheet web,KS32777,4.031,1.484,1.334,2.547,1.705,1.691,0.324,0.731,1.142,0.542,1.376,0.554,1.455,1.347,0.953,1.063,0.518,1.056,1.093,0.934,0.829,0.526,1.702,1.869,0.723
Stiphidiidae,Stiphidion facetum,Sheet web,KS49240,5.846,2.585,1.596,3.261,2.24,4.291,0.863,4.98,4.258,2.23,4.163,0.532,3.298,2.949,1.728,3.369,0.622,2.661,3.176,1.314,3.931,0.549,3.63,4.233,1.661
Stiphidiidae,Therlinya monteithi,Sheet web,KS58378,7.987,4.015,2.779,3.972,2.963,3.621,1.108,3.559,3.361,1.656,3.213,1.17,2.999,3.046,1.493,1.868,1.193,2.267,2.13,1.314,2.311,1.118,3.141,2.757,1.773
Stiphidiidae,Therlinya vexillum,Sheet web,KS128334,5.587,3.27,1.951,2.317,1.826,2.773,0.84,2.87,2.824,1.507,2.248,1.083,1.922,2.536,1.094,2.025,0.819,1.732,2.273,1.306,2.427,0.721,2.417,2.838,1.01
Stiphidiidae,Wabua major,Sheet web,QMS39207,3,1.333333333,0.966666667,1.666666667,1.166666667,1.166666667,0.416666667,1.166666667,0.833333333,0.666666667,1,0.366666667,0.833333333,0.833333333,0.5,0.866666667,0.466666667,0.666666667,0.766666667,0.633333333,0.7,0.316666667,1.1,1.033333333,0.433333333
Tetragnathidae,Leucauge dromedaria,Orb-web,KS128370,7.056,2.529,1.994,4.527,2.42,5.248,1.193,5.269,5.944,1.665,4.424,1.022,3.883,1.597,0.455,2.6,0.656,1.493,2.506,0.536,4.13,0.869,2.909,3.708,1.038
Tetragnathidae,Leucauge granulata,Orb-web,KS5899,6.849,2.144,1.673,4.705,2.619,4.2,0.959,4.812,5.072,1.375,3.402,0.964,3.422,4.068,1.054,1.763,0.541,1.357,2.291,0.654,3.708,0.647,2.567,3.198,0.915
Tetragnathidae,Mesida argentiopunctatus,Orb-web,KS0525,4.295,1.419,1.213,2.876,2.002,2.062,0.572,2.463,1.942,0.589,1.478,0.444,1.809,1.815,0.557,0.767,0.365,0.529,0.602,0.264,1.537,0.339,1.137,1.011,0.499
Tetragnathidae,Tetragnatha bituberculata,Orb-web,KS14177,6.633,2.183,1.252,4.45,1.634,2.685,1.037,5.027,3.892,0.601,2.466,0.701,2.899,2.486,0.708,1.035,0.406,1.096,1.53,0.353,2.854,0.451,1.243,2.227,0.664
Tetragnathidae,Tetragnatha cylindrica,Orb-web,KS14158,4.593,1.871,0.9,2.722,0.564,5.495,0.475,3.74,4.849,0.511,3.423,0.39,1.915,2.84,0.77,1.804,0.181,1.218,1.272,0.55,3.937,0.351,3.619,3.485,0.63
Tetragnathidae,Tetragnatha demissa,Orb-web,KS124365,7.405,2.046,1.181,5.359,1.42,4.477,0.752,5.299,5.052,1.097,3.162,0.847,2.653,3.196,0.724,1.679,0.449,1.042,0.752,0.217,3.773,0.613,2.808,2.569,0.988
Tetragnathidae,Tetragnatha nitens,Orb-web,KS114430,8.498,2.485,1.76,6.013,2.169,5.895,1.304,5.881,6.384,1.519,4.662,0.747,3.162,4.155,1.113,2.323,0.64,1.586,1.724,0.446,2.887,0.52,2.5,2.796,0.681
Tetragnathidae,Tetragnatha rubriventris,Orb-web,KS14079,7.533,1.867,1.41,5.666,1.236,6.122,0.673,6.591,6.277,1.426,4.648,0.503,2.986,3.235,1.28,2.453,0.407,1.393,1.109,0.655,4.421,0.465,2.337,2.154,0.945
Tetragnathidae,Tetragnatha valida,Orb-web,KS128296,6.057,2.494,1.796,3.563,1.608,8.176,1.042,7.967,8.269,1.856,5.74,0.826,4.514,4.419,1.868,2.652,0.569,1.856,1.228,0.78,5.942,0.643,4.007,4.128,1
Theridiidae,Achaearanea propera,Irregular web,KS93194,5.342,1.956,1.676,3.386,3.242,2.557,0.916,2.847,2.277,1.339,2.555,0.349,1.374,1.897,0.631,1.493,0.515,0.776,1.3,0.554,2.664,0.492,2.218,2.409,0.819
Theridiidae,Argyrodes antipodianus,Irregular web,KS121722,2.673,0.876,0.622,1.797,1.312,1.08,0.224,1.429,0.796,0.605,0.69,0.265,0.586,0.932,0.274,NA,NA,NA,NA,NA,0.802,0.293,0.459,0.495,0.365
Theridiidae,Argyrodes fissifrons,Irregular web,QMS29821,5.4,2.8,1.45,2.6,1.75,6.15,0.85,4.65,5.45,1.3,4.45,0.7,2.65,3.6,1.5,2.45,0.5,1.1,1.95,1.25,4.8,0.55,3.4,3.25,1.6
Theridiidae,Argyrodes rainbowi,Irregular web,KS118150,2.932,0.922,0.61,2.01,1.544,2,0.251,1.848,1.484,0.774,0.95,0.208,0.745,0.683,0.471,0.531,0.161,0.253,0.283,0.244,0.851,0.127,0.427,0.482,0.273
Theridiidae,Ariamnes colubrinus,Irregular web,KS124268,10.961,1.893,0.723,9.068,0.719,5.044,0.442,2.042,4.316,1.244,2.377,0.412,1.817,1.458,0.678,0.882,0.297,0.596,NA,NA,4.698,0.536,3.463,3.522,0.777
Theridiidae,Cryptachaea blattea,Irregular web,KS51518,2.961,1.165,0.96,1.796,1.448,1.496,0.524,0.993,1.315,0.368,0.764,0.245,0.504,0.555,0.357,0.792,0.309,0.448,0.413,0.249,1.081,0.239,0.571,0.451,0.426
Theridiidae,Cryptachaea gigantipes,Irregular web,KS120149,4.874,1.258,1.366,3.616,3.364,5.463,0.96,4.306,5.334,1.426,2.596,0.609,1.293,2.822,1.16,1.254,0.501,1.029,1.568,0.682,3.153,0.552,2.253,2.435,0.617
Theridiidae,Cryptachaea veruculata,Irregular web,KS70382,3.906,1.705,1.25,2.201,2.044,2.285,0.952,2.671,2.998,1.016,1.947,0.674,1.572,1.699,0.528,1.722,0.469,0.873,0.912,0.415,2.182,0.719,1.719,1.832,0.773
Theridiidae,Latrodectus hasseltii,Irregular web,KS68491,8.75,2.75,3,6,4.75,4.25,1.5,4.8,6,1.8,3.65,1.35,2.5,3.3,0.85,2.3,1,1.6,2.85,1.1,4.55,1,2.6,3.75,0.85
